Género;Rama de actividad;Población ;Servicio Doméstico;Empleado u obrero;Cuenta Propia;Patrón Empleador;Trabajador Familiar;Ignorado
Mujer/Femenino;;7.833;1.802;2.615;2.407;262;336;411
Mujer/Femenino;"Agricultura, ganadería, caza, silvicultura y pesca";122;///;37;52;16;17;-
Mujer/Femenino;Explotación de minas y canteras;-;///;-;-;-;-;-
Mujer/Femenino;Industria manufacturera;289;///;55;204;7;21;2
Mujer/Femenino;"Suministro de electricidad, gas, vapor y aire acondicionado";-;///;-;-;-;-;-
Mujer/Femenino;"Suministro de agua; cloacas; gestión de residuos, recuperación de materiales y saneamiento público";4;///;-;4;-;-;-
Mujer/Femenino;Construcción;37;///;16;14;3;3;1
Mujer/Femenino;"Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas";1.362;///;392;740;102;106;22
Mujer/Femenino;Servicio de transporte y almacenamiento;28;///;15;9;2;1;1
Mujer/Femenino;Servicios de alojamiento y servicios de comida;188;///;82;72;10;20;4
Mujer/Femenino;Información y comunicaciones;13;///;5;6;-;2;-
Mujer/Femenino;Intermediación financiera y servicios de seguros;55;///;42;13;-;-;-
Mujer/Femenino;Servicios inmobiliarios;6;///;1;5;-;-;-
Mujer/Femenino;"Servicios profesionales, científicos y técnicos";155;///;40;107;3;3;2
Mujer/Femenino;Actividades administrativas y servicios de apoyo;66;///;35;26;3;2;-
Mujer/Femenino;"Administración pública, defensa y seguridad social obligatoria";258;///;214;18;12;3;11
Mujer/Femenino;Enseñanza;794;///;586;139;25;20;24
Mujer/Femenino;Salud humana y servicios sociales;373;///;249;91;20;8;5
Mujer/Femenino;"Servicios artísticos, culturales, deportivos y de esparcimiento";53;///;23;21;3;4;2
Mujer/Femenino;Servicios de asociaciones y servicios personales;183;///;25;147;5;4;2
Mujer/Femenino;"Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes o servicios para uso propio";1.803;1.802;1;-;-;-;-
Mujer/Femenino;Servicios de organizaciones y órganos extraterritoriales;-;///;-;-;-;-;-
Mujer/Femenino;Sin respuesta;1.402;///;484;485;31;93;309
Mujer/Femenino;Información insuficiente para codificar;642;///;313;254;20;29;26
